N    |  logged   accept
1020 |   1008,   98.82 %
1025 |    500,   48.78 %
1030 |    529,   51.36 %
1035 |   1035,   100.00 %
1040 |   1040,   100.00 %
1045 |   1045,   100.00 %
1050 |   1050,   100.00 %
1055 |   1050,   99.53 %
1060 |    833,   78.58 %
1065 |    785,   73.71 %
1070 |    634,   59.25 %
1075 |    102,   9.49 %
1080 |    550,   50.93 %
1085 |   1008,   92.90 %
1090 |   1090,   100.00 %
1095 |   1095,   100.00 %
1100 |    780,   70.91 %
1105 |   1105,   100.00 %
1110 |   1110,   100.00 %
1115 |   1100,   98.65 %
1120 |    784,   70.00 %
1125 |    856,   76.09 %
1130 |    475,   42.04 %
1135 |    567,   49.96 %
1140 |    139,   12.19 %
1145 |    719,   62.79 %
1150 |    736,   64.00 %
1155 |   1094,   94.72 %
1160 |    597,   51.47 %
1165 |   1165,   100.00 %
1170 |   1163,   99.40 %
1175 |   1175,   100.00 %
1180 |    838,   71.02 %
1185 |    847,   71.48 %
1190 |    520,   43.70 %
1195 |    963,   80.59 %
1200 |    783,   65.25 %
1205 |    670,   55.60 %
1210 |    567,   46.86 %
1215 |   1215,   100.00 %
1220 |   1213,   99.43 %
1225 |    830,   67.76 %
1230 |   1208,   98.21 %
1235 |    481,   38.95 %
1240 |    897,   72.34 %
1245 |   1068,   85.78 %
1250 |    172,   13.76 %
1255 |    716,   57.05 %
1260 |    607,   48.17 %
1265 |   1250,   98.81 %
1270 |   1270,   100.00 %
1275 |   1275,   100.00 %
1280 |   1270,   99.22 %
1285 |    851,   66.23 %
1290 |    961,   74.50 %
1295 |    673,   51.97 %
1300 |    875,   67.31 %
1305 |   1034,   79.23 %
1310 |    676,   51.60 %
1315 |    699,   53.16 %
1320 |   1320,   100.00 %
1325 |   1206,   91.02 %
1330 |    946,   71.13 %
1335 |    793,   59.40 %
1340 |   1340,   100.00 %
1345 |   1302,   96.80 %
1350 |    963,   71.33 %
1355 |    915,   67.53 %
1360 |    344,   25.29 %
1365 |    313,   22.93 %
1370 |    910,   66.42 %
1375 |   1371,   99.71 %
1380 |    723,   52.39 %
1385 |   1385,   100.00 %
1390 |   1390,   100.00 %
1395 |   1358,   97.35 %
1400 |    141,   10.07 %
1405 |   1293,   92.03 %
1410 |    846,   60.00 %
1415 |    695,   49.12 %
1420 |    263,   18.52 %
1425 |   1425,   100.00 %
1430 |   1259,   88.04 %
1435 |    569,   39.65 %
1440 |   1440,   100.00 %
1445 |   1420,   98.27 %
1450 |    676,   46.62 %
1455 |   1127,   77.46 %
1460 |   1215,   83.22 %
1465 |    606,   41.37 %
1470 |    717,   48.78 %
1475 |   1157,   78.44 %
1480 |    689,   46.55 %
1485 |    713,   48.01 %
1490 |    757,   50.81 %
1495 |   1476,   98.73 %
1500 |   1500,   100.00 %
1505 |   1374,   91.30 %
1510 |   1226,   81.19 %
1515 |   1108,   73.14 %
1520 |   1372,   90.26 %
1525 |    668,   43.80 %
1530 |    389,   25.42 %
1535 |    809,   52.70 %
1540 |   1046,   67.92 %
1545 |    858,   55.53 %
1550 |   1400,   90.32 %
1555 |   1543,   99.23 %
1560 |   1114,   71.41 %
1565 |    987,   63.07 %
1570 |    296,   18.85 %
1575 |    250,   15.87 %
1580 |    629,   39.81 %
1585 |    758,   47.82 %
1590 |   1214,   76.35 %
1595 |    852,   53.42 %
1600 |    929,   58.06 %
1605 |   1285,   80.06 %
1610 |    471,   29.25 %
1615 |    531,   32.88 %
1620 |    266,   16.42 %
1625 |    432,   26.58 %
1630 |    983,   60.31 %
1635 |    692,   42.32 %
1640 |   1108,   67.56 %
1645 |    946,   57.51 %
1650 |   1216,   73.70 %
1655 |    538,   32.51 %
1660 |    434,   26.14 %
1665 |    688,   41.32 %
1670 |    802,   48.02 %
1675 |    677,   40.42 %
1680 |   1545,   91.96 %
1685 |    831,   49.32 %
1690 |    523,   30.95 %
1695 |   1290,   76.11 %
1700 |   1659,   97.59 %
1705 |    631,   37.01 %
1710 |   1288,   75.32 %
1715 |    972,   56.68 %
1720 |    506,   29.42 %
1725 |    684,   39.65 %
1730 |    757,   43.76 %
1735 |    821,   47.32 %
1740 |   1046,   60.11 %
1745 |    492,   28.19 %
1750 |    860,   49.14 %
1755 |   1270,   72.36 %
1760 |   1347,   76.53 %
1765 |    613,   34.73 %
1770 |   1388,   78.42 %
1775 |   1421,   80.06 %
1780 |     76,   4.27 %
1785 |    243,   13.61 %
1790 |    363,   20.28 %
1795 |   1265,   70.47 %
1800 |    850,   47.22 %
1805 |    766,   42.44 %
1810 |   1003,   55.41 %
1815 |   1325,   73.00 %
1820 |    482,   26.48 %
1825 |    653,   35.78 %
1830 |   1390,   75.96 %
1835 |    940,   51.23 %
1840 |   1357,   73.75 %
1845 |    558,   30.24 %
1850 |    968,   52.32 %
1855 |   1290,   69.54 %
1860 |   1397,   75.11 %
1865 |    833,   44.66 %
1870 |   1130,   60.43 %
1875 |    881,   46.99 %
1880 |   1659,   88.24 %
1885 |   1558,   82.65 %
1890 |   1082,   57.25 %
1895 |   1022,   53.93 %
1900 |   1015,   53.42 %
1905 |   1348,   70.76 %
1910 |   1452,   76.02 %
1915 |   1550,   80.94 %
1920 |   1422,   74.06 %
1925 |   1285,   66.75 %
1930 |    949,   49.17 %
1935 |   1051,   54.32 %
1940 |   1928,   99.38 %
1945 |   1524,   78.35 %
1950 |   1067,   54.72 %
1955 |   1509,   77.19 %
1960 |   1388,   70.82 %
1965 |   1519,   77.30 %
1970 |   1141,   57.92 %
1975 |   1046,   52.96 %
1980 |   1229,   62.07 %
1985 |   1425,   71.79 %
1990 |   1013,   50.90 %
1995 |   1437,   72.03 %
2000 |   1484,   74.20 %
2005 |   1659,   82.74 %
2010 |   1837,   91.39 %
2015 |   1480,   73.45 %
2020 |   1376,   68.12 %
2025 |   1126,   55.60 %
2030 |   1426,   70.25 %
2035 |   1634,   80.29 %
2040 |   1310,   64.22 %
2045 |   1661,   81.22 %
2050 |   1609,   78.49 %
2055 |    595,   28.95 %
2060 |    727,   35.29 %
2065 |   1503,   72.78 %
2070 |   1933,   93.38 %
2075 |   2049,   98.75 %
2080 |    988,   47.50 %
2085 |    842,   40.38 %
2090 |    345,   16.51 %
2095 |   1119,   53.41 %
2100 |   1130,   53.81 %
2105 |   2077,   98.67 %
2110 |   1805,   85.55 %
2115 |   1541,   72.86 %
2120 |   1593,   75.14 %
2125 |    872,   41.04 %
2130 |   1418,   66.57 %
2135 |   2135,   100.00 %
2140 |   2132,   99.63 %
2145 |   1705,   79.49 %
2150 |    997,   46.37 %
2155 |    666,   30.90 %
2160 |   1367,   63.29 %
2165 |   2156,   99.58 %
2170 |    914,   42.12 %
2175 |    948,   43.59 %
2180 |   1448,   66.42 %
2185 |   1243,   56.89 %
2190 |   1436,   65.57 %
2195 |   1243,   56.63 %
2200 |   1167,   53.05 %
2205 |   1650,   74.83 %
2210 |   1362,   61.63 %
2215 |   1603,   72.37 %
2220 |    712,   32.07 %
2225 |    680,   30.56 %
2230 |   1283,   57.53 %
2235 |   1674,   74.90 %
2240 |   1173,   52.37 %
2245 |   1162,   51.76 %
2250 |   1588,   70.58 %
2255 |   1116,   49.49 %
2260 |   1122,   49.65 %
2265 |   1738,   76.73 %
2270 |   1494,   65.81 %
2275 |   1777,   78.11 %
2280 |   1699,   74.52 %
2285 |   1115,   48.80 %
2290 |   1895,   82.75 %
2295 |   1224,   53.33 %
2300 |   1510,   65.65 %
2305 |   1506,   65.34 %
2310 |   1648,   71.34 %
2315 |   1182,   51.06 %
2320 |    894,   38.53 %
2325 |    779,   33.51 %
2330 |   1605,   68.88 %
2335 |   2109,   90.32 %
2340 |   1611,   68.85 %
2345 |   1537,   65.54 %
2350 |   1761,   74.94 %
2355 |   1801,   76.48 %
2360 |   1324,   56.10 %
2365 |   1787,   75.56 %
2370 |   1450,   61.18 %
2375 |   1889,   79.54 %
2380 |   1768,   74.29 %
2385 |   1812,   75.97 %
2390 |   1010,   42.26 %
2395 |   1223,   51.06 %
2400 |   1153,   48.04 %
2405 |   1600,   66.53 %
2410 |   1583,   65.68 %
2415 |    822,   34.04 %
2420 |   1641,   67.81 %
2425 |   1999,   82.43 %
2430 |   1879,   77.33 %
2435 |   1928,   79.18 %
2440 |    988,   40.49 %
2445 |    701,   28.67 %
2450 |    949,   38.73 %
2455 |   2039,   83.05 %
2460 |   1025,   41.67 %
2465 |   1986,   80.57 %
2470 |    367,   14.86 %
2475 |    420,   16.97 %
2480 |   1691,   68.19 %
2485 |   1931,   77.71 %
2490 |   1365,   54.82 %
2495 |    251,   10.06 %
2500 |   1214,   48.56 %
2505 |   2145,   85.63 %
2510 |   1886,   75.14 %
2515 |   1537,   61.11 %
2520 |    731,   29.01 %
2525 |   1373,   54.38 %
2530 |   1466,   57.94 %
2535 |   1901,   74.99 %
2540 |   1067,   42.01 %
2545 |   1473,   57.88 %
2550 |   1082,   42.43 %
2555 |    915,   35.81 %
2560 |   2338,   91.33 %
2565 |   1080,   42.11 %
2570 |   1838,   71.52 %
2575 |   2313,   89.83 %
2580 |   1699,   65.85 %
2585 |   1403,   54.27 %
2590 |   1512,   58.38 %
2595 |   1144,   44.08 %
2600 |   1291,   49.65 %
2605 |   1697,   65.14 %
2610 |   2176,   83.37 %
2615 |   1680,   64.24 %
2620 |   1991,   75.99 %
2625 |   1702,   64.84 %
2630 |   1293,   49.16 %
2635 |   1005,   38.14 %
2640 |   1703,   64.51 %
2645 |   2213,   83.67 %
2650 |   1366,   51.55 %
2655 |   1102,   41.51 %
2660 |    116,   4.36 %
2665 |   1137,   42.66 %
2670 |    838,   31.39 %
2675 |   1027,   38.39 %
2680 |   1659,   61.90 %
2685 |   1334,   49.68 %
2690 |   1095,   40.71 %
2695 |   1692,   62.78 %
2700 |   1900,   70.37 %
2705 |    440,   16.27 %
2710 |   1448,   53.43 %
2715 |   1868,   68.80 %
2720 |   1612,   59.26 %
2725 |    304,   11.16 %
2730 |    781,   28.61 %
2735 |    962,   35.17 %
2740 |    758,   27.66 %
2745 |   2001,   72.90 %
2750 |    684,   24.87 %
2755 |    881,   31.98 %
2760 |   1337,   48.44 %
2765 |   2283,   82.57 %
2770 |    981,   35.42 %
2775 |   2310,   83.24 %
2780 |   1822,   65.54 %
2785 |    692,   24.85 %
2790 |   1444,   51.76 %
2795 |   1458,   52.16 %
2800 |   1422,   50.79 %
2805 |   2175,   77.54 %
2810 |   1577,   56.12 %
2815 |   1636,   58.12 %
2820 |   1007,   35.71 %
2825 |   2165,   76.64 %
2830 |   1596,   56.40 %
2835 |   1789,   63.10 %
2840 |   1466,   51.62 %
2845 |    671,   23.59 %
2850 |   2651,   93.02 %
2855 |   1992,   69.77 %
2860 |    502,   17.55 %
2865 |   1809,   63.14 %
2870 |   1753,   61.08 %
2875 |   2139,   74.40 %
2880 |    777,   26.98 %
2885 |    736,   25.51 %
2890 |   1031,   35.67 %
2895 |   1200,   41.45 %
2900 |   1281,   44.17 %
2905 |   2031,   69.91 %
2910 |   1811,   62.23 %
2915 |   1406,   48.23 %
2920 |   2455,   84.08 %
2925 |   1179,   40.31 %
2930 |   1732,   59.11 %
2935 |   1904,   64.87 %
2940 |   2329,   79.22 %
2945 |   2463,   83.63 %
2950 |   1377,   46.68 %
2955 |    201,   6.80 %
2960 |    653,   22.06 %
2965 |   1263,   42.60 %
2970 |   1760,   59.26 %
2975 |   2516,   84.57 %
2980 |    609,   20.44 %
2985 |    492,   16.48 %
2990 |   1563,   52.27 %
2995 |    971,   32.42 %
3000 |   1837,   61.23 %
3005 |   1761,   58.60 %
3010 |   2400,   79.73 %
3015 |    419,   13.90 %
3020 |   1411,   46.72 %
3025 |   1626,   53.75 %
3030 |   1703,   56.20 %
3035 |   2593,   85.44 %
3040 |   2552,   83.95 %
3045 |   1145,   37.60 %
3050 |   1056,   34.62 %
3055 |   1280,   41.90 %
3060 |   2326,   76.01 %
3065 |   2338,   76.28 %
3070 |    580,   18.89 %
3075 |    314,   10.21 %
3080 |   1720,   55.84 %
3085 |   2602,   84.34 %
3090 |   1355,   43.85 %
3095 |   1079,   34.86 %
3100 |   2063,   66.55 %
3105 |   1605,   51.69 %
3110 |   2073,   66.66 %
3115 |    343,   11.01 %
3120 |   1707,   54.71 %
3125 |   2725,   87.20 %
3130 |   1497,   47.83 %
3135 |   1334,   42.55 %
3140 |   1532,   48.79 %
3145 |   1543,   49.06 %
3150 |    807,   25.62 %
3155 |    943,   29.89 %
3160 |   1197,   37.88 %
3165 |   1697,   53.62 %
3170 |   1298,   40.95 %
3175 |    567,   17.86 %
3180 |   1674,   52.64 %
3185 |    628,   19.72 %
3190 |    198,   6.21 %
3195 |   2002,   62.66 %
3200 |    356,   11.12 %
3205 |   1892,   59.03 %
3210 |    850,   26.48 %
3215 |   1432,   44.54 %
3220 |   1724,   53.54 %
3225 |   2172,   67.35 %
3230 |   1451,   44.92 %
3235 |    128,   3.96 %
3240 |   1479,   45.65 %
3245 |   1660,   51.16 %
3250 |   1578,   48.55 %
3255 |   1376,   42.27 %
3260 |   1552,   47.61 %
3265 |    473,   14.49 %
3270 |    155,   4.74 %
3275 |    322,   9.83 %
3280 |    813,   24.79 %
3285 |   2994,   91.14 %
3290 |   1739,   52.86 %
3295 |   1006,   30.53 %
3300 |   1489,   45.12 %
3305 |    448,   13.56 %
3310 |   1421,   42.93 %
3315 |   1073,   32.37 %
3320 |   1052,   31.69 %
3325 |   1464,   44.03 %
3330 |   1454,   43.66 %
3335 |   1706,   51.15 %
3340 |   1492,   44.67 %
3345 |    435,   13.00 %
3350 |    955,   28.51 %
3355 |   1667,   49.69 %
3360 |   1607,   47.83 %
3365 |   1818,   54.03 %
3370 |    973,   28.87 %
3375 |   1327,   39.32 %
3380 |   1701,   50.33 %
3385 |   1116,   32.97 %
3390 |   2146,   63.30 %
3395 |   2997,   88.28 %
3400 |    528,   15.53 %
3405 |   1021,   29.99 %
3410 |    745,   21.85 %
3415 |    829,   24.28 %
