N    |  logged   accept
-----|-------------------
0    |      0,   100.00 %
25   |     25,   100.00 %
50   |     50,   100.00 %
75   |     75,   100.00 %
100  |    100,   100.00 %
125  |    125,   100.00 %
150  |    150,   100.00 %
175  |    175,   100.00 %
200  |    200,   100.00 %
225  |    225,   100.00 %
250  |    250,   100.00 %
275  |    275,   100.00 %
300  |    300,   100.00 %
325  |    325,   100.00 %
350  |    350,   100.00 %
375  |    375,   100.00 %
400  |    400,   100.00 %
425  |    425,   100.00 %
450  |    450,   100.00 %
475  |    475,   100.00 %
500  |    500,   100.00 %
525  |    525,   100.00 %
550  |    550,   100.00 %
575  |    575,   100.00 %
600  |    600,   100.00 %
625  |    625,   100.00 %
650  |    650,   100.00 %
675  |    675,   100.00 %
700  |    502,   71.71 %
705  |    677,   96.03 %
710  |    556,   78.31 %
715  |    549,   76.78 %
720  |    720,   100.00 %
725  |    709,   97.79 %
730  |    718,   98.36 %
735  |    735,   100.00 %
740  |    740,   100.00 %
745  |    745,   100.00 %
750  |    750,   100.00 %
755  |    535,   70.86 %
760  |    463,   60.92 %
765  |    526,   68.76 %
770  |    579,   75.19 %
775  |    535,   69.03 %
780  |    780,   100.00 %
785  |    444,   56.56 %
790  |    137,   17.34 %
795  |    486,   61.13 %
800  |    424,   53.00 %
805  |    592,   73.54 %
810  |    768,   94.81 %
815  |    433,   53.13 %
820  |    820,   100.00 %
825  |    825,   100.00 %
830  |    613,   73.86 %
835  |    835,   100.00 %
840  |    840,   100.00 %
845  |    845,   100.00 %
850  |    584,   68.71 %
855  |    487,   56.96 %
860  |    547,   63.60 %
865  |    865,   100.00 %
870  |    332,   38.16 %
875  |    601,   68.69 %
880  |    807,   91.70 %
885  |    885,   100.00 %
890  |    890,   100.00 %
895  |    582,   65.03 %
900  |    389,   43.22 %
905  |    905,   100.00 %
910  |    910,   100.00 %
915  |    915,   100.00 %
920  |    834,   90.65 %
925  |    532,   57.51 %
930  |    469,   50.43 %
935  |    679,   72.62 %
940  |    940,   100.00 %
945  |    552,   58.41 %
950  |    512,   53.89 %
955  |    696,   72.88 %
960  |    960,   100.00 %
965  |    965,   100.00 %
970  |    970,   100.00 %
975  |    975,   100.00 %
980  |    652,   66.53 %
985  |    985,   100.00 %
990  |    959,   96.87 %
995  |    698,   70.15 %
1000 |    511,   51.10 %
1005 |    453,   45.07 %
1010 |    102,   10.10 %
1015 |    667,   65.71 %
