N    |  logged   accept
1680 |    421,   25.06 %
1685 |    624,   37.03 %
1690 |   1540,   91.12 %
1695 |   1619,   95.52 %
1700 |   1700,   100.00 %
1705 |   1283,   75.25 %
1710 |   1300,   76.02 %
1715 |    674,   39.30 %
1720 |    901,   52.38 %
1725 |    773,   44.81 %
1730 |   1442,   83.35 %
1735 |    951,   54.81 %
1740 |   1566,   90.00 %
1745 |   1340,   76.79 %
1750 |    796,   45.49 %
1755 |   1300,   74.07 %
1760 |    768,   43.64 %
1765 |    176,   9.97 %
1770 |   1287,   72.71 %
1775 |   1624,   91.49 %
1780 |   1589,   89.27 %
1785 |    893,   50.03 %
1790 |   1137,   63.52 %
1795 |   1588,   88.47 %
1800 |    243,   13.50 %
1805 |   1426,   79.00 %
1810 |   1010,   55.80 %
1815 |   1767,   97.36 %
1820 |   1783,   97.97 %
1825 |   1561,   85.53 %
1830 |    621,   33.93 %
1835 |   1476,   80.44 %
1840 |   1053,   57.23 %
1845 |    479,   25.96 %
1850 |    532,   28.76 %
1855 |   1659,   89.43 %
1860 |   1694,   91.08 %
1865 |   1494,   80.11 %
1870 |   1282,   68.56 %
1875 |   1675,   89.33 %
1880 |   1316,   70.00 %
1885 |   1380,   73.21 %
1890 |    570,   30.16 %
1895 |   1314,   69.34 %
1900 |   1584,   83.37 %
1905 |   1325,   69.55 %
1910 |   1845,   96.60 %
1915 |   1559,   81.41 %
1920 |   1003,   52.24 %
1925 |   1328,   68.99 %
1930 |    628,   32.54 %
1935 |    866,   44.75 %
1940 |   1406,   72.47 %
1945 |   1945,   100.00 %
1950 |    562,   28.82 %
1955 |   1417,   72.48 %
1960 |   1213,   61.89 %
1965 |    983,   50.03 %
1970 |   1040,   52.79 %
1975 |   1975,   100.00 %
1980 |    784,   39.60 %
1985 |   1492,   75.16 %
1990 |   1574,   79.10 %
1995 |   1605,   80.45 %
2000 |   1048,   52.40 %
2005 |    788,   39.30 %
2010 |    884,   43.98 %
2015 |   1438,   71.36 %
2020 |   1847,   91.44 %
2025 |   1210,   59.75 %
2030 |   1162,   57.24 %
2035 |    918,   45.11 %
2040 |   1656,   81.18 %
2045 |    754,   36.87 %
2050 |   1336,   65.17 %
2055 |   1160,   56.45 %
2060 |   2017,   97.91 %
2065 |   1552,   75.16 %
2070 |   1335,   64.49 %
2075 |   1410,   67.95 %
2080 |   1460,   70.19 %
2085 |    232,   11.13 %
2090 |    785,   37.56 %
2095 |   1372,   65.49 %
2100 |    808,   38.48 %
2105 |   2017,   95.82 %
2110 |   1119,   53.03 %
2115 |   2050,   96.93 %
2120 |    631,   29.76 %
2125 |   1027,   48.33 %
2130 |   1905,   89.44 %
2135 |   1119,   52.41 %
2140 |   1761,   82.29 %
2145 |   1332,   62.10 %
2150 |    298,   13.86 %
